	canny	fast	hessian	lbp	shape_index	structure
193	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01459069 -0.04065199 -0.0358724  ..., -0.02588925 -0.01882053
 -0.00146102]"	[ 0.  0.  0. ...,  0.  0.  8.]	"[ 0.62272781  0.83739759  0.86107549 ...,  0.86248082  0.7227475
  0.51729806]"	"[ 1.66066842  1.83126184  1.89158404 ...,  1.14870469  1.02831394
  0.87786437]"
194	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00465443 -0.02694457 -0.02889207 ..., -0.01179907 -0.0087031
  0.00041399]"	[ 512.  769.  768. ...,   48.   56.   56.]	"[ 0.54063619  0.73789371  0.80610335 ...,  0.82743791  0.71451231
  0.49015092]"	"[ 1.63697342  1.90526519  2.12148241 ...,  0.32411554  0.28541922
  0.24022134]"
195	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00831477 -0.02224406 -0.01860614 ..., -0.00934949 -0.02394311
 -0.00568013]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.61335013  0.80262822  0.80512036 ...,  0.68245159  0.8467689
  0.56979241]"	"[ 0.68918735  0.74743002  0.80912599 ...,  0.93130042  0.95272694
  0.99307572]"
196	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00065763 -0.00526993 -0.00591014 ..., -0.01305063 -0.01898444
 -0.00857412]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.5266349   0.71139207  0.77678588 ...,  0.78446512  0.84873854
  0.65541935]"	"[ 0.0771431   0.09174273  0.10498787 ...,  0.4591483   0.44221908
  0.39261584]"
197	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01498861 -0.04898488 -0.05516876 ..., -0.0012528   0.00328369
  0.00987058]"	[  0.   0.   0. ...,   8.  56.  56.]	"[ 0.59649429  0.80191841  0.87569153 ...,  0.52424979  0.43696435
  0.30051522]"	"[ 3.09509993  3.62438426  3.97480038 ...,  0.59215309  0.43443025
  0.28993765]"
198	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00687454 -0.00525999 -0.00905882 ..., -0.0309579  -0.0277552
 -0.00398008]"	[ 769.  769.  769. ...,   48.   48.   48.]	"[ 0.41271135  0.56839113  0.63416405 ...,  0.8100642   0.73309636
  0.53304624]"	"[ 0.75353144  0.95312532  1.18378209 ...,  2.38175434  2.12732311
  1.83579889]"
199	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01447642 -0.03670279 -0.02851602 ..., -0.00224464 -0.00223548
  0.00098744]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.65359235  0.87560955  0.82960197 ...,  0.5980533   0.59108927
  0.45769344]"	"[ 1.05043027  1.12858565  1.13758679 ...,  0.10057213  0.07724455
  0.06200723]"
200	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00134797 -0.01322837 -0.01524445 ..., -0.02752571 -0.02321321
 -0.00222905]"	[  0.   0.   0. ...,  40.  40.  40.]	"[ 0.52393074  0.74678337  0.85426983 ...,  0.80279907  0.71296296
  0.5202117 ]"	"[ 0.40188309  0.44390861  0.48722737 ...,  2.00752221  1.77388842
  1.52087352]"
201	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	[-0.00806077 -0.03512101 -0.0367312  ..., -0.00569095 -0.003638   -0.00019337]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.55561135  0.74397452  0.80639465 ...,  0.870446    0.73142862
  0.51288487]"	"[ 2.61275479  3.06345453  3.40111275 ...,  0.04589133  0.04003169
  0.03314204]"
202	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00049875 -0.00588376 -0.00683807 ..., -0.04234997 -0.03918183
 -0.00701352]"	[ 769.  769.  513. ...,   48.   48.   48.]	"[ 0.51784481  0.71632717  0.80988141 ...,  0.80978839  0.73859269
  0.54238761]"	"[ 0.09610537  0.11082253  0.12398783 ...,  4.43330201  3.97640631
  3.43629422]"
203	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00147989 -0.01529458 -0.01818838 ...,  0.00082074 -0.01091893
 -0.00816154]"	[ 256.    0.    0. ...,   56.   40.    8.]	[ 0.52073041  0.71859547  0.81665466 ...,  0.45731748  0.939325    0.79289414]	"[ 0.6298358   0.73233456  0.81888311 ...,  0.09851727  0.11640691
  0.10778198]"
204	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00697825 -0.04224555 -0.04683311 ..., -0.02832189 -0.02557204
 -0.00365693]"	[ 256.  256.  256. ...,   56.   56.   56.]	"[ 0.53823559  0.73300925  0.80976296 ...,  0.8017547   0.72925038
  0.53250341]"	"[ 4.17594049  4.8390326   5.41588543 ...,  2.06300761  1.84707241
  1.58108083]"
205	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00036933 -0.00411108 -0.0058906  ..., -0.00594478 -0.00688334
 -0.00230399]"	[ 769.  768.  513. ...,   48.   32.    0.]	"[ 0.48367508  0.68720283  0.82383751 ...,  0.8486813   0.82988583
  0.60748259]"	"[ 0.06620238  0.07784923  0.08902931 ...,  0.06899654  0.06651467
  0.06146437]"
206	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00777961 -0.01739418 -0.01197408 ..., -0.0058905  -0.00506846
 -0.00069176]"	[   0.    0.  768. ...,    0.    0.   32.]	"[ 0.64987182  0.8399931   0.7997456  ...,  0.76183481  0.70557075
  0.52935419]"	"[ 0.30667739  0.33234432  0.33977024 ...,  0.09920847  0.08421388
  0.06794789]"
207	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00266726  0.00081965 -0.00054517 ..., -0.00184882 -0.00160091
 -0.00063604]"	[ 257.  769.  769. ...,    0.    0.    8.]	"[ 0.33297003  0.43817023  0.54254877 ...,  0.84984758  0.78194859
  0.62996047]"	"[ 0.0367916   0.04983249  0.06673342 ...,  0.00415501  0.00363729
  0.00283336]"
208	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01153492 -0.04331495 -0.04077655 ..., -0.00282617 -0.00395875
 -0.00114195]"	[ 0.  0.  0. ...,  8.  8.  8.]	"[ 0.57284644  0.77744773  0.81344996 ...,  0.78470504  0.9308135
  0.63039827]"	"[ 3.13736054  3.50953946  3.82515113 ...,  0.0121912   0.01204832
  0.01103403]"
209	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00657949 -0.04111968 -0.04556338 ..., -0.04368607 -0.03906851
 -0.00597379]"	[ 769.  769.  769. ...,   24.   56.   40.]	"[ 0.53680222  0.73183853  0.80827128 ...,  0.80866936  0.72939907
  0.53475705]"	"[ 4.00166393  4.64181916  5.19519088 ...,  4.78710215  4.27731286
  3.68804771]"
210	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	[-0.00663995 -0.02653373 -0.02814631 ..., -0.02466788 -0.02200972 -0.003833  ]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.57226729  0.78771965  0.86395172 ...,  0.82076378  0.74171679
  0.5422728 ]"	"[ 1.03999181  1.17572913  1.26070657 ...,  1.33335092  1.19533893
  1.03373374]"
211	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00364186 -0.02267952 -0.02498423 ..., -0.02625031 -0.02329441
 -0.0032918 ]"	[  0.   0.   0. ...,  56.  48.  48.]	"[ 0.53716988  0.73276046  0.8070165  ...,  0.81147648  0.72883758
  0.53192483]"	"[ 1.18514626  1.38027651  1.54370777 ...,  1.72592903  1.54316347
  1.33447956]"
212	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00165595 -0.02994698 -0.03909228 ...,  0.00288647  0.00179275
  0.00198816]"	[ 256.    0.    0. ...,   56.   56.   56.]	"[ 0.51175184  0.71811339  0.8477937  ...,  0.34123819  0.3879683
  0.36277882]"	"[ 2.46705103  2.81398034  3.12091254 ...,  0.06487656  0.04323875
  0.03017967]"
213	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01267457 -0.04509451 -0.05000908 ..., -0.04071284 -0.0348126
 -0.00482927]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.58676069  0.80693447  0.91213445 ...,  0.8167228   0.73286194
  0.5326081 ]"	"[ 2.48675473  2.76259431  2.86321329 ...,  3.66431947  3.23090833
  2.77274453]"
214	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	[-0.00643828 -0.03964032 -0.04397752 ..., -0.00141541 -0.00296    -0.00119377]	[ 256.  256.  256. ...,   40.    8.    8.]	"[ 0.53731037  0.73168973  0.80836616 ...,  0.73651087  0.92085411
  0.65636521]"	"[ 3.72682837  4.33206528  4.84748096 ...,  0.01092977  0.0105807
  0.01076142]"
215	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -1.16518058e-02  -3.86760784e-02  -4.03062495e-02 ...,   4.53051057e-04
  -3.03122728e-04  -1.45393543e-05]"	[  0.   0.   0. ...,  48.  48.  48.]	"[ 0.59234895  0.80550995  0.86947464 ...,  0.44171152  0.54912121
  0.50320586]"	"[ 2.10293769  2.36050155  2.52180362 ...,  0.00982749  0.00635969
  0.00381582]"
216	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00491977 -0.01631669 -0.01564752 ..., -0.01897987 -0.01648096
 -0.00439241]"	[ 1.  1.  1. ...,  0.  0.  0.]	"[ 0.58380551  0.77460258  0.81364429 ...,  0.89049224  0.78594014
  0.57629392]"	"[ 0.43019774  0.48262366  0.5300175  ...,  0.48438304  0.45290957
  0.40722966]"
217	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00109886 -0.01076465 -0.01205536 ...,  0.01605195  0.00224595
  0.00370587]"	[ 256.  256.  256. ...,   56.   56.   56.]	"[ 0.52253358  0.72270209  0.79679085 ..., -0.01281389  0.41825443
  0.37219959]"	"[ 0.31167003  0.3617565   0.40874165 ...,  0.2084397   0.13189465
  0.10088119]"
218	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00412943 -0.02278262 -0.02360837 ..., -0.02825757 -0.02075664
 -0.00349006]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.54036943  0.72397695  0.7783931  ...,  0.82367773  0.70041118
  0.53456994]"	"[ 1.3238723   1.53683442  1.73646453 ...,  1.54195787  1.35846204
  1.15118774]"
219	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00473186 -0.02311918 -0.02677115 ..., -0.00471965 -0.00559553
 -0.0019295 ]"	[ 256.  256.  256. ...,   32.   32.    0.]	[ 0.54906353  0.73298638  0.80821696 ...,  0.85793209  0.84591389  0.623955  ]	"[ 1.13199124  1.3601377   1.54126567 ...,  0.02880092  0.02834521
  0.02568651]"
220	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00459361 -0.02567636 -0.02788872 ..., -0.00506631 -0.00741786
 -0.0005343 ]"	[  0.   0.   0. ...,  48.  48.  48.]	"[ 0.5416602   0.73358463  0.80108129 ...,  0.73340644  0.7788109
  0.51728814]"	"[ 1.54925168  1.81529719  2.0357234  ...,  0.15766869  0.14986026
  0.1370074 ]"
221	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00822146 -0.02638456 -0.02280327 ..., -0.02197567 -0.05696563
 -0.03174205]"	[   0.  513.  513. ...,    0.    0.    0.]	"[ 0.5766584   0.74994671  0.76020267 ...,  0.71136929  0.97736804
  0.75822741]"	"[ 1.46100373  1.7362392   1.91432238 ...,  1.92074938  2.06056524
  2.00336729]"
222	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00906682 -0.0222931  -0.01889995 ..., -0.04491557 -0.0489248
 -0.01461153]"	[ 513.  513.  513. ...,    8.    8.   48.]	"[ 0.62998458  0.80903798  0.81285977 ...,  0.81337399  0.78875577
  0.58586663]"	"[ 0.57138488  0.6479617   0.69206193 ...,  4.79565271  4.40954281
  3.90893982]"
223	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00048522 -0.00697252 -0.0107056  ..., -0.03875563 -0.03455846
 -0.00533302]"	[  1.   1.   0. ...,   0.  48.  32.]	"[ 0.48726658  0.68426061  0.82454193 ...,  0.80916857  0.73071981
  0.53537774]"	"[ 0.18497512  0.22218106  0.25564328 ...,  3.72216622  3.32251253
  2.85774256]"
224	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0076864  -0.04498992 -0.04953253 ..., -0.02770417 -0.01963681
 -0.00387203]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.53973682  0.73403314  0.80893221 ...,  0.95221568  0.75723966
  0.55245817]"	"[ 4.68708296  5.44200154  6.08483088 ...,  0.69671808  0.64602596
  0.58852052]"
225	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00678626 -0.02606185 -0.02551992 ..., -0.00748675 -0.00665569
 -0.00288429]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.57122519  0.77095354  0.80328586 ...,  0.88607101  0.80637588
  0.64382901]"	"[ 1.14796296  1.30858103  1.44545448 ...,  0.06071659  0.05576696
  0.04733653]"
226	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00310372 -0.01630387 -0.01734481 ..., -0.03559632 -0.03233454
 -0.00512681]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.54742209  0.75223388  0.82352146 ...,  0.80523861  0.73089829
  0.53628745]"	[ 0.54273896  0.61976812  0.67999477 ...,  3.25308715  2.903887    2.50274312]
227	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00655052 -0.04093675 -0.0453097  ..., -0.02652078 -0.02093989
 -0.00178059]"	[ 769.  769.  769. ...,   48.   48.   56.]	"[ 0.53679744  0.73180755  0.80792367 ...,  0.84646382  0.72738226
  0.51926347]"	"[ 3.96759911  4.60232954  5.15120879 ...,  1.33202735  1.19396922
  1.04343262]"
228	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00716176 -0.01450544 -0.03049603 ..., -0.00440827  0.00264214
  0.01076555]"	[ 768.    0.    0. ...,   56.   56.   56.]	"[ 0.42019508  0.66250174  0.90757891 ...,  0.71299812  0.42785064
  0.26576951]"	"[ 0.96083138  1.0481095   1.18236521 ...,  0.41339634  0.3600668
  0.29217357]"
229	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00570664 -0.03565724 -0.03931394 ..., -0.0307847  -0.03061493
 -0.00630291]"	[ 769.  769.  769. ...,    8.    0.    8.]	"[ 0.53678318  0.7317118   0.80675173 ...,  0.80784519  0.75557796
  0.55177448]"	"[ 3.01365242  3.4958278   3.91323086 ...,  2.44063243  2.20039924
  1.92790279]"
230	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[  4.34276673e-05  -1.16341521e-02  -1.49957550e-02 ...,  -2.35856530e-03
  -4.65768103e-03  -2.08261762e-03]"	[ 769.  769.  513. ...,   48.   48.   32.]	"[ 0.49929383  0.68921388  0.78808389 ...,  0.75718407  0.90736787
  0.67152918]"	"[ 0.47320676  0.56510103  0.64950872 ...,  0.0170058   0.0174524
  0.01831945]"
231	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01397027 -0.01514901 -0.00447814 ..., -0.03553946 -0.02610777
  0.00430232]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.79186229  0.84488378  0.69035434 ...,  0.80779603  0.67911895
  0.47221952]"	"[ 0.21669214  0.24040211  0.17748651 ...,  3.90072642  3.47003001
  2.97983299]"
232	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00021905  0.00026398  0.00028318 ...,  0.00078122  0.00056957
  0.00055296]"	[ 769.  769.  769. ...,   48.   48.   48.]	"[-0.25043884 -0.32392577 -0.40778665 ...,  0.30736504  0.34827859
  0.3190526 ]"	"[  1.01443797e-05   1.45114941e-05   1.68807780e-05 ...,   1.81283488e-03
   1.05327550e-03   6.39433338e-04]"
233	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00235293 -0.01705461 -0.01918322 ..., -0.04058485 -0.03691218
 -0.0058841 ]"	[  1.   1.   0. ...,  56.  56.  56.]	"[ 0.52864436  0.70620117  0.7731264  ...,  0.80460567  0.73086729
  0.53648641]"	"[ 0.79664836  0.95273823  1.09177391 ...,  4.23725025  3.78173417
  3.25901947]"
234	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00571474 -0.03558999 -0.03971786 ..., -0.00032015 -0.00010119
  0.00091631]"	[  0.   1.   0. ...,  40.  56.  56.]	"[ 0.53709323  0.73267128  0.81132983 ...,  0.55426624  0.51484685
  0.37021465]"	"[ 2.96970355  3.44385177  3.85129296 ...,  0.00961248  0.00763073
  0.00578411]"
235	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00720834 -0.0449929  -0.04990661 ..., -0.04377265 -0.02825195
  0.0017524 ]"	[ 256.  256.  256. ...,    8.    8.   24.]	"[ 0.53687305  0.73191994  0.80869716 ...,  0.96273763  0.71074552
  0.48813463]"	"[ 4.78305126  5.54795745  6.20950648 ...,  3.03180261  2.89097428
  2.72102958]"
236	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00758946 -0.02762821 -0.03254876 ..., -0.00951577 -0.00930998
 -0.00284454]"	[  0.   0.   0. ...,  40.  40.  40.]	[ 0.57508247  0.7706084   0.88212961 ...,  0.81337145  0.7666322   0.5844132 ]	"[ 1.1675542   1.30256278  1.42003152 ...,  0.19542566  0.17431428
  0.14846006]"
237	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00523543 -0.03176379 -0.03474979 ..., -0.03844707 -0.03457651
 -0.00553824]"	[ 256.  256.  256. ...,    8.    8.   24.]	"[ 0.53779995  0.73086732  0.80287896 ...,  0.80994042  0.73262259
  0.53697722]"	"[ 2.3994386   2.78723962  3.12346177 ...,  3.65999742  3.27073879
  2.81960409]"
238	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0013473  -0.00394922 -0.00317137 ..., -0.04201163 -0.03773364
 -0.0055392 ]"	[ 769.  769.  769. ...,   48.   56.   56.]	"[ 0.60445151  0.80778178  0.82302601 ...,  0.80294826  0.72754341
  0.53315166]"	"[ 0.02034012  0.02252419  0.02354757 ...,  4.57176296  4.06974927
  3.4920641 ]"
239	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	[-0.00350095 -0.02529495 -0.02880143 ..., -0.02501984 -0.02512827 -0.004434  ]	[ 513.  513.  513. ...,   48.   48.   32.]	"[ 0.53035139  0.7179586   0.7880782  ...,  0.77172     0.72556805
  0.53914582]"	"[ 1.68863206  2.00288231  2.28328619 ...,  2.11060994  1.87354543
  1.60938102]"
240	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -1.21909633e-03  -7.77004280e-03  -8.43274181e-03 ...,  -5.14223047e-04
  -4.84201287e-04   2.68673127e-05]"	[ 0.  0.  0. ...,  8.  8.  8.]	"[ 0.53850854  0.75145693  0.8316596  ...,  0.85556482  0.70308895
  0.49028438]"	"[ 0.12427189  0.14167922  0.15356497 ...,  0.00101424  0.00095695
  0.00097087]"
241	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00136624 -0.00427815 -0.00386529 ..., -0.00616415 -0.00444721
  0.00023116]"	[ 512.    0.  256. ...,   16.   16.   16.]	"[ 0.59339286  0.78931312  0.79868381 ...,  0.82689798  0.6789484
  0.49104582]"	"[ 0.03022366  0.03450923  0.03832952 ...,  0.09700407  0.08692433
  0.0764039 ]"
242	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00499344  0.00156601 -0.00150187 ..., -0.00151289 -0.00290677
 -0.00232659]"	[ 769.  769.  769. ...,    0.    0.   32.]	"[ 0.27457829  0.42102764  0.60487036 ...,  0.55330774  0.62273582
  0.63107147]"	"[ 0.04359128  0.04899108  0.06084439 ...,  0.09511678  0.07463194
  0.05349824]"
243	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00556974 -0.03776929 -0.04297537 ..., -0.02995452 -0.02660168
 -0.00421362]"	[ 513.  512.    1. ...,    0.    0.    8.]	"[ 0.53275617  0.72295786  0.80521435 ...,  0.81323834  0.73206658
  0.5364807 ]"	"[ 3.56768529  4.15796569  4.66864409 ...,  2.16809079  1.93827109
  1.67106707]"
244	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -1.91914162e-05  -2.09914635e-04   3.21918512e-05 ...,  -4.05524354e-04
  -3.65974430e-04  -5.85589339e-05]"	[ 513.  769.  257. ...,   56.   56.   56.]	"[ 0.51242364  0.64266052  0.47535869 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 0.00031833  0.00038025  0.00046972 ...,  0.00041153  0.0003677
  0.00031699]"
245	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -2.40220761e-03  -1.78679699e-02  -2.05632905e-02 ...,  -9.60742531e-03
  -7.63748643e-03   1.67903940e-05]"	[ 768.  768.  768. ...,   56.   56.   56.]	"[ 0.53032658  0.72763067  0.8140585  ...,  0.77135382  0.68277866
  0.49960084]"	"[ 0.78906813  0.91615926  1.0268683  ...,  0.30077195  0.25993855
  0.2222502 ]"
246	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00485913 -0.03323296 -0.03722736 ..., -0.02546743 -0.02251962
 -0.00408029]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.53287029  0.72621317  0.80246194 ...,  0.82328276  0.73913494
  0.54328973]"	"[ 2.75586524  3.21450783  3.62064943 ...,  1.43202026  1.28511784
  1.11150163]"
247	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00821859 -0.01346615 -0.01031495 ..., -0.01360763 -0.01227071
 -0.00227763]"	[ 0.  0.  1. ...,  8.  0.  0.]	"[ 0.73760604  0.85215549  0.8120742  ...,  0.81817935  0.73794533
  0.54399397]"	"[ 0.13056574  0.16134686  0.16255581 ...,  0.42867264  0.38595049
  0.33399271]"
248	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00508422 -0.01030285 -0.00618133 ..., -0.0180465  -0.01510705
  0.0008863 ]"	[   0.    0.  256. ...,   24.   56.   56.]	"[ 0.67520863  0.86002104  0.76882413 ...,  0.75427161  0.68160199
  0.48946959]"	"[ 0.10998361  0.11988105  0.12256238 ...,  1.23952935  1.08114177
  0.9201575 ]"
249	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00244419 -0.00084542 -0.00241742 ..., -0.00676099 -0.00566437
 -0.0006381 ]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.36754896  0.54747894  0.66143834 ...,  0.80746398  0.71818969
  0.52456627]"	"[ 0.04117958  0.04767956  0.05872601 ...,  0.11257085  0.09942333
  0.08432268]"
250	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00229616 -0.01661331 -0.01871661 ..., -0.02100565 -0.01626638
  0.00034259]"	[ 513.  513.  513. ...,   24.   24.   24.]	"[ 0.53110034  0.727943    0.80970424 ...,  0.81374207  0.69854179
  0.49596031]"	"[ 0.68246892  0.79303076  0.88747815 ...,  1.18736376  1.0536012
  0.88601451]"
251	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01326709 -0.03254767 -0.03161669 ..., -0.00668983 -0.00720987
 -0.00290405]"	[  0.   0.   0. ...,  56.  48.  48.]	"[ 0.63037221  0.81010801  0.8351091  ...,  0.80678439  0.79226937
  0.62342009]"	"[ 1.45887234  1.70161205  1.84559193 ...,  0.08869561  0.08092509
  0.0680704 ]"
252	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.02075544 -0.0501954  -0.0407088  ..., -0.05082752 -0.0398297
 -0.00228919]"	[  0.   0.   0. ...,   8.  56.  56.]	"[ 0.64649891  0.85024175  0.83112356 ...,  0.81651707  0.71286692
  0.51220143]"	"[ 2.58622329  2.87493036  2.99621072 ...,  6.04118535  5.32964126
  4.49390099]"
253	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00474954 -0.0315499  -0.0355052  ...,  0.00527162  0.00944283
  0.01008711]"	[  0.   0.   0. ...,  40.  56.  56.]	"[ 0.53457119  0.73288758  0.81715297 ...,  0.18391557 -0.08034692
 -0.1802232 ]"	"[ 2.33623752  2.69395272  3.0058964  ...,  0.05525803  0.0417716
  0.02097877]"
254	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00482457 -0.03312298 -0.03861357 ..., -0.03595789 -0.03377916
 -0.00640425]"	[ 0.  0.  0. ...,  8.  8.  8.]	"[ 0.53405364  0.73489108  0.82504466 ...,  0.82513386  0.75128325
  0.54699684]"	"[ 2.5461654   2.95785243  3.30494768 ...,  2.91015404  2.64478591
  2.31595646]"
255	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01101275 -0.02290657 -0.01726819 ..., -0.04058145 -0.0346508
 -0.00555063]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.67206264  0.85016874  0.84693863 ...,  0.82915688  0.73153072
  0.53685259]"	"[ 0.43038282  0.43371156  0.4449191  ...,  3.55204385  3.1935477
  2.76901112]"
256	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00259212 -0.01436241 -0.01604625 ..., -0.02864834 -0.03022313
 -0.01018372]"	[ 512.  513.  513. ...,    0.    0.    0.]	[ 0.54146982  0.72720179  0.80103097 ...,  0.77827774  0.75989711  0.592147  ]	"[ 0.48689323  0.56965127  0.64368832 ...,  1.80928697  1.62397674
  1.37842209]"
