	canny	fast	hessian	lbp	shape_index	structure
48	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00156898 -0.00454465 -0.00415987 ..., -0.00592694 -0.00521757
 -0.00109238]"	[  0.   0.   0. ...,  48.  48.  48.]	"[ 0.5917319   0.76877101  0.82033761 ...,  0.81808888  0.73926195
  0.55075103]"	"[ 0.03472366  0.03916048  0.04235664 ...,  0.07317378  0.06553112
  0.05617842]"
49	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00212551 -0.01099344 -0.01504992 ..., -0.02840326 -0.02300791
 -0.00155479]"	[ 769.  769.  768. ...,    8.   40.   56.]	"[ 0.55781018  0.78524078  0.92357981 ...,  0.79369311  0.69778237
  0.51332551]"	"[ 0.15993945  0.17572533  0.18441609 ...,  2.27967629  2.00211359
  1.68191576]"
50	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00659533 -0.03026304 -0.03394185 ..., -0.00715516 -0.00749886
 -0.00085919]"	[  0.   0.   0. ...,  48.  56.  56.]	"[ 0.5564333   0.75983044  0.84813034 ...,  0.7163961   0.70002744
  0.52311064]"	"[ 1.71534192  1.96885454  2.15350944 ...,  0.25323944  0.21407234
  0.17776647]"
51	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00719328 -0.04495567 -0.04981392 ..., -0.04978575 -0.04493025
 -0.00718921]"	[ 257.  768.  256. ...,   24.   56.   56.]	"[ 0.53680222  0.73183853  0.80827128 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 4.78310667  5.54827107  6.20970491 ...,  6.20268384  5.54199786
  4.7776986 ]"
52	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01043338 -0.04854814 -0.0540572  ..., -0.04981392 -0.04495567
 -0.00719328]"	[  0.   0.   0. ...,  24.  56.  56.]	"[ 0.5552069   0.75696272  0.83881358 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 4.61067858  5.2807942   5.81352158 ...,  6.20970491  5.54827107
  4.78310667]"
53	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00199584 -0.00685987 -0.01148966 ..., -0.02858534 -0.02594738
 -0.00423528]"	[ 512.  768.  768. ...,   24.    8.    8.]	"[ 0.44567239  0.69153992  0.85513789 ...,  0.80924442  0.73218969
  0.53750879]"	"[ 0.18684058  0.22380775  0.2505227  ...,  2.04823476  1.83497897
  1.58792572]"
54	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00049895 -0.00301358 -0.00344506 ..., -0.02365632 -0.01975073
 -0.00319712]"	[ 769.  769.  769. ...,    0.    0.    8.]	"[ 0.47781329  0.63768346  0.67989712 ...,  0.83787727  0.73742619
  0.53837804]"	"[ 0.07116872  0.08609158  0.10368157 ...,  1.11588224  1.00322211
  0.86618734]"
55	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00378058 -0.0278223  -0.03145946 ..., -0.01283501 -0.01970318
 -0.00371725]"	[  1.   1.   1. ...,  56.  56.  56.]	"[ 0.53038443  0.72655538  0.80922514 ...,  0.67782804  0.71750508
  0.53768875]"	"[ 1.94020906  2.24288923  2.51101056 ...,  1.74379594  1.56304133
  1.33298242]"
56	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00870098 -0.02150516 -0.02227181 ..., -0.0303525  -0.01915949
  0.00462964]"	[  0.   0.   1. ...,  24.  24.  56.]	"[ 0.61856893  0.77490634  0.82013853 ...,  0.82638543  0.66385667
  0.46212341]"	"[ 0.67254441  0.82391518  0.92146768 ...,  2.2904042   2.02884148
  1.74543513]"
57	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00228852 -0.03769477 -0.04785679 ..., -0.04380665 -0.03973169
 -0.00624227]"	[  0.   0.   0. ...,  24.  24.  24.]	"[ 0.51274956  0.71627033  0.83488224 ...,  0.8089603   0.73267267
  0.53619095]"	"[ 3.62064752  4.20826724  4.68188044 ...,  4.82490297  4.31781538
  3.73262658]"
58	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00699171 -0.04438472 -0.04956084 ..., -0.01583394 -0.01456589
 -0.00056974]"	[  0.   0.   0. ...,   0.  32.  32.]	"[ 0.53601311  0.73030474  0.80845842 ...,  0.76865466  0.70500412
  0.50777577]"	"[ 4.70411601  5.47209694  6.12793144 ...,  0.86250258  0.76862612
  0.64197707]"
59	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0016775  -0.01010605 -0.01227472 ..., -0.00385321 -0.00375883
 -0.00064246]"	[  0.   0.   0. ...,  24.  24.  56.]	"[ 0.54196063  0.75375419  0.84744969 ...,  0.81993768  0.74721249
  0.54150738]"	"[ 0.20508436  0.24054586  0.26658479 ...,  0.0348057   0.03170114
  0.02862895]"
60	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00773491 -0.0130632  -0.00901703 ..., -0.03774338 -0.03424719
 -0.00571044]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.73128859  0.86926706  0.81908237 ...,  0.80874067  0.73344698
  0.53863388]"	"[ 0.11367348  0.13304184  0.13045979 ...,  3.56051999  3.1836732
  2.74709028]"
61	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -7.74598573e-04  -2.59522762e-03  -2.77990221e-05 ...,  -4.38344533e-02
  -3.97926718e-02  -6.49496940e-03]"	[ 769.  769.  769. ...,   32.   32.    0.]	"[ 0.53738638  0.63273107  0.50228755 ...,  0.80662091  0.73224639
  0.53762472]"	"[ 0.03874976  0.04195722  0.04842844 ...,  4.82816144  4.31098183
  3.71243199]"
62	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00299478 -0.02488777 -0.02746457 ..., -0.04948637 -0.0449983
 -0.00894764]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.52601902  0.71982599  0.78719397 ...,  0.80604625  0.73425166
  0.54688543]"	"[ 1.63785882  1.92073725  2.15140598 ...,  5.96960267  5.32271156
  4.52758317]"
63	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.          0.          0.         ..., -0.036472   -0.03264452
 -0.00498669]"	[ 1023.  1023.  1023. ...,     0.     8.     0.]	"[        nan         nan         nan ...,  0.80289914  0.72759293
  0.53458153]"	"[ 0.          0.          0.         ...,  3.41368253  3.03736831
  2.60601428]"
